account_id,country,city,region
607cd637-6b7e-4ef6-afcd-cb0b46c52ab0,Canada,Calgary,AB-North
5a7439c5-62be-4c2e-965d-2277748f9319,Canada,Montreal,QC-South
52493410-8ed1-443c-a87d-e5de07ddb622,Canada,Vancouver,BC-West
d085ba68-f655-4dc2-b0d6-52168f5fb4cb,Australia,Melbourne,VIC-West
3784c74a-4169-433b-955b-1a31bedd0dec,United States,Phoenix,AZ-North
97320da9-a98c-4bf0-80bc-8d9effdf52e3,UK,Manchester,England-North
281bda77-b6aa-49d3-8cdc-5452ffce3e61,United States,New York,NY-North
3a2465a5-efe1-477b-a321-d9f1db74d2cf,UK,Birmingham,England-Central
32b75f97-34ca-41b6-abb7-37fd8b6cc2e1,United States,Chicago,IL-North
995011a6-0f3a-49b3-a511-296a19e86f9f,UK,Manchester,England-West
a30c9d71-5482-4be4-8d00-d293ecaf6431,Australia,Melbourne,VIC-West
0229253a-642f-433e-8c0b-f67fb905b165,Canada,Vancouver,BC-East
d5679769-c49f-43af-83a4-d8ac90b63cb0,United States,Houston,TX-South
408f1b39-0805-4e6a-a1fb-035f9f541493,UK,Birmingham,England-Central
3a1ebd38-801b-4b96-a9ff-41d69ad3e63a,Canada,Calgary,AB-South
93f16e6e-c503-4b90-83de-06b96a5cfec7,United States,New York,NY-South
c18da95d-bb11-49b7-960a-6f70793a2216,UK,Glasgow,Scotland-East
2a21293a-5a66-46ea-af40-65c0ef0c282d,United States,Houston,TX-North
e76e996b-0dc0-4775-8984-24de50f783c4,United States,Phoenix,AZ-South
cba613e2-7b29-4f8b-b134-8ac10c380419,Canada,Ottawa,ON-Central
5da56f69-8a3b-470b-abb7-a7a2f7f84e01,UK,Manchester,England-West
efb560cb-75e0-40c9-a713-01a8d31e5a6f,Canada,Toronto,ON-South
5bfb3235-1639-4cd7-a41e-9cb4c1c55452,Canada,Montreal,QC-North
18cd1347-eee0-4b56-bc5d-93a3800157ef,United States,Chicago,IL-South
e087619e-20e3-4f68-8cad-ab982ea77d21,Australia,Sydney,NSW-South
9297f90b-d1ab-4b7b-a54a-45c9816ae776,UK,Glasgow,Scotland-West
c9b74a93-735b-417c-91d5-7329b997250c,UK,Leeds,England-Central
e48a810b-076b-4d50-ba3a-847474e5498c,Canada,Montreal,QC-South
5cbc2384-9782-4978-8451-8f7d7ebec4f7,UK,Glasgow,Scotland-East
a23aef17-e9f9-4d87-b356-c7c6e7751e74,Australia,Melbourne,VIC-West
3a74cb3d-ccaf-475e-8fe5-511f4257d9ce,Australia,Adelaide,SA-South
d91e983f-9235-449a-abd5-235345c25b3d,Australia,Melbourne,VIC-West
03f6e516-8073-4f1e-a679-df1c650822c4,UK,Leeds,England-North
9bffb94b-945a-4abe-bcfe-dcb632a0cbb9,Australia,Brisbane,QLD-North
6443f0c8-0d9f-4419-88d5-eae29e33b52b,United States,Phoenix,AZ-North
5749dee8-8b6a-472e-a82f-ab73b0c9ebf8,Australia,Sydney,NSW-South
