id,sign_up_time,sign_up_platform
607cd637-6b7e-4ef6-afcd-cb0b46c52ab0,2024-09-26 05:18:41,mobile-android
5a7439c5-62be-4c2e-965d-2277748f9319,2024-05-03 19:48:23,mobile-ipad
52493410-8ed1-443c-a87d-e5de07ddb622,2024-12-08 04:21:13,web-browser
d085ba68-f655-4dc2-b0d6-52168f5fb4cb,2024-10-21 19:53:31,web-browser
3784c74a-4169-433b-955b-1a31bedd0dec,2024-09-26 16:46:30,mobile-ipad
97320da9-a98c-4bf0-80bc-8d9effdf52e3,2024-07-27 11:34:37,web-browser
281bda77-b6aa-49d3-8cdc-5452ffce3e61,2024-09-22 00:11:53,mobile-ios
3a2465a5-efe1-477b-a321-d9f1db74d2cf,2024-11-14 22:06:11,mobile-ios
32b75f97-34ca-41b6-abb7-37fd8b6cc2e1,2024-08-24 11:51:19,mobile-ios
995011a6-0f3a-49b3-a511-296a19e86f9f,2024-10-21 13:54:50,mobile-ipad
a30c9d71-5482-4be4-8d00-d293ecaf6431,2024-02-24 10:03:48,mobile-ios
0229253a-642f-433e-8c0b-f67fb905b165,2024-05-16 09:20:19,mobile-ipad
d5679769-c49f-43af-83a4-d8ac90b63cb0,2024-12-28 16:08:56,mobile-ipad
408f1b39-0805-4e6a-a1fb-035f9f541493,2024-09-17 11:51:55,web-browser
3a1ebd38-801b-4b96-a9ff-41d69ad3e63a,2024-10-19 16:53:39,mobile-ipad
93f16e6e-c503-4b90-83de-06b96a5cfec7,2024-06-11 08:15:06,mobile-android
c18da95d-bb11-49b7-960a-6f70793a2216,2024-10-19 15:51:03,mobile-ipad
2a21293a-5a66-46ea-af40-65c0ef0c282d,2024-10-21 17:12:04,mobile-ios
e76e996b-0dc0-4775-8984-24de50f783c4,2024-02-18 01:37:17,mobile-android
cba613e2-7b29-4f8b-b134-8ac10c380419,2024-12-04 02:46:08,mobile-ipad
5da56f69-8a3b-470b-abb7-a7a2f7f84e01,2024-06-02 23:54:55,mobile-ios
efb560cb-75e0-40c9-a713-01a8d31e5a6f,2024-12-04 22:38:34,web-browser
5bfb3235-1639-4cd7-a41e-9cb4c1c55452,2024-12-05 09:17:31,mobile-android
18cd1347-eee0-4b56-bc5d-93a3800157ef,2024-02-19 08:26:11,mobile-ipad
e087619e-20e3-4f68-8cad-ab982ea77d21,2024-07-23 18:06:40,mobile-android
9297f90b-d1ab-4b7b-a54a-45c9816ae776,2024-10-31 21:19:57,web-browser
c9b74a93-735b-417c-91d5-7329b997250c,2024-10-01 20:56:39,mobile-ios
e48a810b-076b-4d50-ba3a-847474e5498c,2024-05-25 14:04:42,mobile-ipad
5cbc2384-9782-4978-8451-8f7d7ebec4f7,2024-12-14 08:48:39,mobile-ipad
a23aef17-e9f9-4d87-b356-c7c6e7751e74,2024-08-05 06:13:56,mobile-android
3a74cb3d-ccaf-475e-8fe5-511f4257d9ce,2024-02-24 21:29:21,web-browser
d91e983f-9235-449a-abd5-235345c25b3d,2024-01-20 02:53:59,mobile-ipad
03f6e516-8073-4f1e-a679-df1c650822c4,2024-02-03 12:35:29,web-browser
9bffb94b-945a-4abe-bcfe-dcb632a0cbb9,2024-12-10 08:27:32,mobile-ios
6443f0c8-0d9f-4419-88d5-eae29e33b52b,2024-10-28 14:39:50,mobile-android
5749dee8-8b6a-472e-a82f-ab73b0c9ebf8,2024-05-12 11:48:55,mobile-ipad
065ffb9e-ce2f-49e0-b82d-bd422b298e56,2024-07-07 14:49:42,web-browser
4b26253d-27da-4c5f-9715-ca7b177f5b0b,2024-03-26 08:35:17,mobile-ipad
f8172553-a9dc-4c1d-a41f-66db3e0092c2,2024-09-11 23:43:06,mobile-android
327be09a-6d3a-4cc3-8a37-96ac225eb796,2024-04-26 15:42:04,web-browser
22ee3667-d8da-4aa5-968b-8642b9ddf493,2024-07-13 21:07:06,web-browser
5c1fe2da-e2df-444f-908c-a64bc62892fb,2024-06-14 11:24:38,mobile-ios
6621a099-f7ab-429c-bcc3-8615f6d0adfe,2024-04-27 03:14:01,web-browser
b48b60f0-e726-49c8-a3d2-c72137adfab1,2024-03-27 04:55:10,mobile-android
e77049ce-fa64-458b-82de-13a1dd5ff5df,2024-04-19 12:15:04,mobile-android
452560d4-c986-42a4-adf0-c73b38a3bd3f,2024-03-12 09:32:39,mobile-ios
a9611233-b26f-43aa-9e35-15bdd0451c08,2024-07-15 10:06:48,mobile-ipad
dd1173fb-fcba-4431-a0da-26ba61346959,2024-09-12 12:21:01,web-browser
