invoice_id,id,service_type,amount
5b7f5747-2669-4c6e-b5ba-6da1de7552e3,1f36abb3-48db-4821-bf1d-1c9607ec860b,other,7632
492715ad-3367-4ca9-92dc-e8dc18d2fb6a,b2199823-103f-4f42-973d-b1de9f882434,repair,865
492715ad-3367-4ca9-92dc-e8dc18d2fb6a,6c5c9d4f-268b-4f1f-a512-1fe09361871d,painting,1169
492715ad-3367-4ca9-92dc-e8dc18d2fb6a,244a4b36-b51b-4020-8447-ec04bce4fc5a,repair,2158
492715ad-3367-4ca9-92dc-e8dc18d2fb6a,a4077910-19eb-4176-8afb-74c9602e4756,install,4374
e57b06d3-f384-4257-b718-c2a78a6620ab,49cb2052-a2a7-4d78-9cfb-82843f15d92b,install,206
e57b06d3-f384-4257-b718-c2a78a6620ab,71c4ba33-48a6-4305-9ed9-8565f47e6698,install,171
e57b06d3-f384-4257-b718-c2a78a6620ab,fb2bd9d1-529c-469d-9974-80f0df7cb202,other,1126
e57b06d3-f384-4257-b718-c2a78a6620ab,b4475adc-15b0-4d8d-bb0c-3f7da5c5d977,other,480
e57b06d3-f384-4257-b718-c2a78a6620ab,b36ff2f4-cb6e-47e1-940d-be5c66499d97,construction,2853
eeea0d29-53f3-4755-ae8c-ba47cfc05532,58237e17-da64-481f-ae38-82f62d409d8b,other,128
eeea0d29-53f3-4755-ae8c-ba47cfc05532,b77e39c1-b959-49a4-8640-34956583a0e8,maintenance,98
eeea0d29-53f3-4755-ae8c-ba47cfc05532,d63ca3ad-2804-4126-a26a-4f9da299a81a,other,1284
eeea0d29-53f3-4755-ae8c-ba47cfc05532,823de0dc-dc72-42ed-9ef4-f3d6c53fb2ec,construction,3228
eeea0d29-53f3-4755-ae8c-ba47cfc05532,e586c294-ead9-481f-b24a-35aa1064be43,cleaning,4464
ec657d94-5f04-4764-88e3-90dd3fb14ea9,87ffc1d8-8102-455c-a0db-57ebbafb5e03,construction,2277
bc63d642-6b18-4cda-bdea-00d5b5a4ec6f,63aa540b-dc1c-4682-8365-80cf228ddba5,cleaning,406
bc63d642-6b18-4cda-bdea-00d5b5a4ec6f,99e2e2bf-8194-4ab9-805b-67f87ec7a9a0,install,472
bc63d642-6b18-4cda-bdea-00d5b5a4ec6f,4979334a-a776-4eaa-a871-25372f54f299,maintenance,1356
55eb7bdc-e748-46ab-ad62-f814a02b6d74,2c4bd8da-d7a5-4281-874e-520f7a244933,cleaning,1473
55eb7bdc-e748-46ab-ad62-f814a02b6d74,f588cf12-f403-45b1-ab84-daec33128d8e,other,2024
41d045d4-f7a5-4c8a-85d5-193557b86abd,f524c387-17f6-489e-954e-45e8fc80b864,painting,599
41d045d4-f7a5-4c8a-85d5-193557b86abd,de044e83-508f-4f0e-bb28-7625d71f0a6a,cleaning,589
41d045d4-f7a5-4c8a-85d5-193557b86abd,f52decab-0eb5-44c5-bf72-75b8940a62ae,cleaning,2914
abd7bf1b-4f22-459c-a425-d402e37c9080,6b10126d-d0f1-477c-af25-646b2f45b503,other,1179
abd7bf1b-4f22-459c-a425-d402e37c9080,3774d280-472d-4986-8837-6297208e78ed,painting,1644
abd7bf1b-4f22-459c-a425-d402e37c9080,788a3bb4-3a19-400d-ac68-1d587d2824cc,construction,1493
abd7bf1b-4f22-459c-a425-d402e37c9080,fb6f9b6e-704a-4ccb-8821-b55fc0eb436f,painting,821
abd7bf1b-4f22-459c-a425-d402e37c9080,cd73842f-09a3-431f-b1ab-2887e9cac7eb,other,2852
571ade7f-3909-4eb3-8886-98931c495b37,e26fabd4-24fc-4ff4-bbea-247498745d1e,cleaning,964
01737c30-f439-4ed6-80b0-6c6e817e799f,26a5ddf1-36a4-429f-9895-9266b1723231,maintenance,352
01737c30-f439-4ed6-80b0-6c6e817e799f,34b4631d-d0ff-49a6-8cb0-dadc1754b41a,painting,289
01737c30-f439-4ed6-80b0-6c6e817e799f,f4a5621d-cb69-4920-91a0-9c9e0f484b5a,repair,475
1cf7358d-9182-4da1-a736-b3db8a53e89f,33c98bae-aa9c-40cc-b278-b125c022f1d9,cleaning,818
1cf7358d-9182-4da1-a736-b3db8a53e89f,44568b28-ea70-4dca-be19-765d55be53c8,repair,245
1cf7358d-9182-4da1-a736-b3db8a53e89f,ef6d879a-eeca-4b31-8df4-602ee5b7efb1,cleaning,1843
1cf7358d-9182-4da1-a736-b3db8a53e89f,cb8af62e-bb29-4e19-aa9c-d4af7ea4f262,cleaning,6758
c64e58d3-5460-458b-9069-3cf93aca64bc,64e965fa-c6b1-42ae-aeea-87fd6374698a,maintenance,9780
872134a9-07f9-4901-823f-6d8d6cf85ff4,b92db907-96e2-4708-81fb-0f1bada9deae,other,2878
872134a9-07f9-4901-823f-6d8d6cf85ff4,7f58e933-b424-4db6-ae9c-a01b984e4fb5,install,4428
